User_ID,Hobbies,Favorite_Music,Ideal_First_Date,Relationship_Type
1,"Reading, Traveling",Indie,Coffee Shop,Long-term
2,"Movies, Sports",Pop,Movie Night,Casual
3,"Cooking, Gaming",Rock,Dinner at Home,Long-term
4,"Hiking, Music",Jazz,Picnic,Casual
5,"Art, Photography",Classical,Art Gallery,Long-term
6,"Fitness, Traveling",Hip-Hop,Outdoor Adventure,Casual
7,"Reading, Writing",Alternative,Bookstore,Long-term
8,"Sports, Music",Country,Concert,Casual
9,"Traveling, Cooking",R&B,Beach Day,Long-term
10,"Hiking, Fitness",EDM,Amusement Park,Casual
11,"Dancing, Painting",Reggae,Wine Tasting,Long-term
12,"Gaming, Coding",Metal,Escape Room,Casual
13,"Photography, Writing",Indie,Nature Walk,Long-term
14,"Cooking, Sports",Pop,Cooking Class,Casual
15,"Traveling, Yoga",Classical,Spa Day,Long-term
16,"Reading, Hiking",Jazz,Botanical Garden,Casual
17,"Music, Sports",EDM,Live Music,Long-term
18,"Fitness, Art",Rock,Art Exhibit,Casual
19,"Traveling, Cooking",Hip-Hop,Food Festival,Long-term
20,"Gaming, Music",Alternative,Karaoke Night,Casual
21,"Reading, Fitness",Country,Picnic in the Park,Long-term
22,"Dancing, Traveling",Indie,Dance Class,Casual
23,"Photography, Hiking",R&B,Photography Walk,Long-term
24,"Cooking, Sports",Pop,Bowling Night,Casual
25,"Reading, Music",Jazz,Coffee Tasting,Long-term
26,"Traveling, Crafting",Folk,Pottery Class,Casual
27,"Gaming, Hiking",Indie,Rock Climbing,Long-term
28,"Photography, Cooking",Rock,Dinner Cruise,Casual
29,"Fitness, Writing",Classical,Yoga Retreat,Long-term
30,"Dancing, Traveling",Pop,Dance Show,Casual
31,"Cooking, Reading",R&B,Candlelit Dinner,Long-term
32,"Traveling, Sports",Country,Sports Game,Casual
33,"Gaming, Music",EDM,Music Festival,Long-term
34,"Photography, Fitness",Jazz,Fitness Class,Casual
35,"Cooking, Hiking",Indie,Nature Cookout,Long-term
36,"Reading, Dancing",Alternative,Theater Show,Casual
37,"Traveling, Art",Classical,Art Walk,Long-term
38,"Fitness, Movies",Pop,Outdoor Movie Night,Casual
39,"Hiking, Photography",R&B,Scenic Drive,Long-term
40,"Gaming, Cooking",EDM,Game Night,Casual
41,"Reading, Traveling",Indie,Coffee Tasting,Long-term
42,"Dancing, Sports",Pop,Dance Party,Casual
43,"Cooking, Fitness",Rock,Healthy Cooking Class,Long-term
44,"Traveling, Writing",Jazz,Book Reading,Casual
45,"Photography, Hiking",Alternative,Photo Shoot,Long-term
46,"Cooking, Movies",Indie,Movie Marathon,Casual
47,"Traveling, Art",Country,Art Museum Visit,Long-term
48,"Gaming, Fitness",Hip-Hop,Fitness Challenge,Casual
49,"Reading, Dancing",R&B,Dance Class,Long-term
50,"Cooking, Sports",Pop,Cooking Competition,Casual
51,"Traveling, Music",Classical,Symphony Concert,Long-term
52,"Fitness, Hiking",EDM,Outdoor Concert,Casual
53,"Dancing, Photography",Jazz,Photo Booth Fun,Long-term
54,"Cooking, Games",Indie,Board Game Night,Casual
55,"Traveling, Sports",Rock,Adventure Sports,Long-term
56,"Gaming, Crafting",Alternative,Craft Night,Casual
57,"Reading, Traveling",Country,Travel Show,Long-term
58,"Dancing, Fitness",Pop,Fitness Dance Class,Casual
59,"Cooking, Photography",Indie,Food Photography,Long-term
60,"Traveling, Art",Folk,Art Fair,Casual
61,"Photography, Hiking",Indie,Nature Photography,Long-term
62,"Cooking, Sports",Jazz,Cooking for Two,Casual
